Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,Opcode
TX_DSA_SWEEP_REFE1_3_9_11_CH_To_CH,1,0,0,0x914,0x20,w,
,1,0,0,0x1914,0x20,w,
,1,0,0,0x4914,0x20,w,
,1,0,0,0x5914,0x20,w,
,1,0,0,0x8924,0x05,w,
,1,0,0,0x8124,0x05,w,
,0,0,0,0x842,0x1,w,
,0,0,0,0x1842,0x3,w,
,0,0,0,0x5842,0x9,w,
,0,0,0,0x4842,0xB,w,
,0,0,0,0x8042,0x10,w,
,0,0,0,0x8842,0x11,w,
,0,0,0,0x8054,0xB,w,
,0,0,0,0x8854,0xB,w,Trig
,0,0,0,0x854,0xB,w,pulse_signal(event0);Trig;Wait 1900
,0,0,0,0x854,0x0,w,
,0,0,0,0x1854,0xB,w,Trig;Wait 1830
,0,0,0,0x1854,0x0,w,
,0,0,0,0x4854,0xB,w,Trig;Wait 1830
,0,0,0,0x4854,0x0,w,
,0,0,0,0x5854,0xB,w,Trig;Wait 1830
,1,0,0,0x914,0x28,w,
,1,0,0,0x1914,0x28,w,
,1,0,0,0x4914,0x28,w,
,1,0,0,0x5914,0x28,w,
,0,0,0,0x5854,0x0,w,
,0,0,0,0x854,0xB,w,Trig;Wait 1550
,0,0,0,0x854,0x0,w,
,0,0,0,0x1854,0xB,w,Trig;Wait 1830
,0,0,0,0x1854,0x0,w,
,0,0,0,0x4854,0xB,w,Trig;Wait 1830
,0,0,0,0x4854,0x0,w,
,0,0,0,0x5854,0xB,w,Trig;Wait 1830
,1,0,0,0x914,0x33,w,
,1,0,0,0x1914,0x33,w,
,1,0,0,0x4914,0x33,w,
,1,0,0,0x5914,0x33,w,
,0,0,0,0x5854,0x0,w,
,0,0,0,0x854,0xB,w,Trig;Wait 1550
,0,0,0,0x854,0x0,w,
,0,0,0,0x1854,0xB,w,Trig;Wait 1830
,0,0,0,0x1854,0x0,w,
,0,0,0,0x4854,0xB,w,Trig;Wait 1830
,0,0,0,0x4854,0x0,w,
,0,0,0,0x5854,0xB,w,Trig;Wait 1830
,0,0,0,0x5854,0x0,w,Trig
,1,0,0,0x914,0x20,w,
,1,0,0,0x1914,0x20,w,
,1,0,0,0x4914,0x20,w,
,1,0,0,0x5914,0x20,w,
