Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,Opcode
TX_DSA_SWEEP_PHASE_REFE1_3_9_11,1,0,0,0x914,0x20,w,
,1,0,0,0x1914,0x20,w,
,1,0,0,0x4914,0x20,w,
,1,0,0,0x5914,0x20,w,pulse_signal(event0);Wait 1560
,1,0,0,0x914,0x28,w,
,1,0,0,0x1914,0x28,w,
,1,0,0,0x4914,0x28,w,
,1,0,0,0x5914,0x28,w,Wait 1560
,1,0,0,0x914,0x33,w,
,1,0,0,0x1914,0x33,w,
,1,0,0,0x4914,0x33,w,
,1,0,0,0x5914,0x33,w,Wait 1560
,1,0,0,0x914,0x3C,w,
,1,0,0,0x1914,0x3C,w,
,1,0,0,0x4914,0x3C,w,
,1,0,0,0x5914,0x3C,w,Wait 1560
,1,0,0,0x914,0x20,w,
,1,0,0,0x1914,0x20,w,
,1,0,0,0x4914,0x20,w,
,1,0,0,0x5914,0x20,w,
